voltage,att0_avg64,att1_avg64,att2_avg64,att3_avg64
100,0,0,0,0
125,0,0,0,0
140,1,1,1,1
150,20,20,20,20
160,25,25,25,25
200,70,70,70,70
300,200,200,200,200
400,313,313,313,313
500,436,436,435,435
600,572,571,571,572
700,684,684,684,684
800,816,816,816,816
900,936,935,935,935
1000,1061,1061,1061,1061
1100,1184,1184,1184,1184
1200,1311,1311,1311,1311
1300,1424,1424,1424,1424
1400,1561,1561,1561,1561
1494,1676,1676,1676,1676
1600,1803,1803,1803,1803
1700,1923,1923,1923,1923
1800,2059,2059,2059,2059
1900,2173,2172,2172,2173
2006,2304,2304,2304,2305
2103,2421,2421,2420,2420
2150,2479,2479,2479,2479
2200,2543,2544,2543,2543
2250,2607,2607,2607,2607
2303,2672,2672,2671,2671
2350,2730,2730,2731,2731
2403,2799,2799,2799,2799
2450,2859,2859,2859,2859
2505,2930,2931,2930,2930
2550,2991,2991,2991,2991
2603,3065,3066,3066,3065
2650,3132,3133,3133,3133
2701,3216,3215,3216,3216
2750,3302,3302,3302,3302
2808,3394,3394,3394,3394
2906,3581,3581,3581,3580
2950,3669,3670,3669,3669
3001,3785,3783,3784,3785
3055,3906,3905,3905,3904
3119,4059,4060,4060,4060
3130,4080,4081,4080,4079
3134,4095,4095,4095,4095
